model,mode,image_name,region,gt_name,gt_tag,pred_name,pred_tag
gemma3:12b,vlm,brooklyn__34__crop_001,brooklyn,Royal Yard Food,amenity=restaurant,Royal Yard Food,amenity=restaurant
gemma3:12b,vlm,brooklyn__34__crop_002,brooklyn,800 Candy Juice Bar,amenity=bar,800 Candy & Juice Bar,amenity=ice_cream
gemma3:12b,vlm,brooklyn__35__crop_001,brooklyn,STARBUCKS COFFEE,amenity=cafe,STARBUCKS COFFEE,amenity=cafe
gemma3:12b,vlm,brooklyn__36__crop_001,brooklyn,EL BARRIO BURRITOS,amenity=restaurant,EL BARRIO BURRITOS,amenity=fast_food
gemma3:12b,vlm,brooklyn__36__crop_002,brooklyn,Nail Salon,shop=hairdresser,Jun Nail Salon Inc.,shop=beauty
gemma3:12b,vlm,brooklyn__37__crop_001,brooklyn,E MARTIN SALES RENTALS,office=estate_agent,E. MARTIN,office=estate_agent
gemma3:12b,vlm,brooklyn__37__crop_002,brooklyn,GRILL DELI,shop=convenience,Grill & Deli,amenity=restaurant
gemma3:12b,vlm,brooklyn__38__crop_001,brooklyn,95 South,amenity=restaurant,95 South Soul Food Restaurant,amenity=restaurant
gemma3:12b,vlm,brooklyn__38__crop_002,brooklyn,PHARMACY,amenity=pharmacy,PURE HEALTH PHARMACY LLC,amenity=pharmacy
gemma3:12b,vlm,brooklyn__38__crop_003,brooklyn,95 South,amenity=restaurant,95 South Soul Food Restaurant,amenity=restaurant
gemma3:12b,vlm,brooklyn__38__crop_004,brooklyn,PHARMACY,amenity=pharmacy,PURE HEALTH PHARMACY LLC,amenity=pharmacy
gemma3:12b,vlm,brooklyn__3__crop_001,brooklyn,LAUNDROMAT,shop=laundry,LAUNDROMAT,shop=laundry
gemma3:12b,vlm,brooklyn__40__crop_001,brooklyn,SHEER MADNESS,shop=hairdresser,SHEER MADNESS,unknown
gemma3:12b,vlm,brooklyn__41__crop_001,brooklyn,FRANKLIN EXPRESS,shop=laundry,FRANKLIN EXPRESS LAUNDRY CENTER,shop=laundry
gemma3:12b,vlm,brooklyn__42__crop_001,brooklyn,Bagel Pub,amenity=bar,Bagel Pub,amenity=bar
gemma3:12b,vlm,brooklyn__44__crop_001,brooklyn,SJ MARKET,shop=supermarket,SJ MARKET,shop=supermarket
gemma3:12b,vlm,brooklyn__45__crop_001,brooklyn,HAPPY WOK,amenity=restaurant,HAPPY WOK,amenity=restaurant
gemma3:12b,vlm,brooklyn__46__crop_001,brooklyn,NOOKLYN,office=estate_agent,NOOKLYN,unknown
gemma3:12b,vlm,brooklyn__47__crop_002,brooklyn,MISC,amenity=restaurant,MISC,unknown
gemma3:12b,vlm,brooklyn__48__crop_001,brooklyn,RESTAURANT,amenity=restaurant,Maria & Tony RESTAURANT,amenity=restaurant
gemma3:12b,vlm,brooklyn__48__crop_002,brooklyn,DELI GROCERY,shop=convenience,Amigos Deli & Grocery,shop=convenience
gemma3:12b,vlm,brooklyn__49__crop_001,brooklyn,enterprise,amenity=car_rental,enterprise rent-a-car,amenity=car_rental
gemma3:12b,vlm,brooklyn__49__crop_002,brooklyn,enterprise,amenity=car_rental,enterprise rent-a-car,amenity=car_rental
gemma3:12b,vlm,brooklyn__4__crop_001,brooklyn,SuperMarket,shop=supermarket,SuperMarket,shop=supermarket
gemma3:12b,vlm,brooklyn__50__crop_001,brooklyn,THE NEW ATLANTIC Restaurant,amenity=restaurant,THE NEW ATLANTIC Restaurant,amenity=restaurant
gemma3:12b,vlm,brooklyn__51__crop_001,brooklyn,enterprise,amenity=car_rental,enterprise rent-a-car,amenity=car_rental
gemma3:12b,vlm,brooklyn__52__crop_001,brooklyn,StateFarm,office=company,State Farm,office=company
gemma3:12b,vlm,brooklyn__54__crop_001,brooklyn,R FERRARO COLLISION,shop=car_repair,R. FERRARO COLLISION,shop=car_repair
gemma3:12b,vlm,brooklyn__54__crop_002,brooklyn,CAROUSEL BEVERAGES,amenity=bar,CAROUSEL BEVERAGES,amenity=bar
gemma3:12b,vlm,brooklyn__55__crop_001,brooklyn,MIGHTY QUINNS,amenity=restaurant,Mighty Quinn's,amenity=restaurant
gemma3:12b,vlm,brooklyn__57__crop_001,brooklyn,CAROUSEL BEVERAGES,amenity=bar,CAROUSEL,amenity=bar
gemma3:12b,vlm,brooklyn__57__crop_003,brooklyn,Powerplay,leisure=fitness_centre,Powerplay,leisure=fitness_centre
gemma3:12b,vlm,brooklyn__58__crop_001,brooklyn,Powerplay,leisure=fitness_centre,Powerplay Activity Center,leisure=fitness_centre
gemma3:12b,vlm,brooklyn__59__crop_001,brooklyn,NEW MILLENNIUM MOTORS INC,shop=car_repair,"NEW MILLENNIUM MOTORS, INC.",shop=car_repair
gemma3:12b,vlm,brooklyn__5__crop_001,brooklyn,ROYAL BAKERY ROTI,shop=bakery,ROYAL BAKERY & ROTI INC.,shop=bakery
gemma3:12b,vlm,brooklyn__5__crop_002,brooklyn,Nostrand Gold Dealers,shop=jewelry,Nostrand Gold Dealers,shop=jewelry
gemma3:12b,vlm,brooklyn__60__crop_001,brooklyn,Powerplay,leisure=fitness_centre,Powerplay Activity Center,leisure=fitness_centre
gemma3:12b,vlm,brooklyn__60__crop_004,brooklyn,RISE DEVELOPMENT,office=estate_agent,RISE DEVELOPMENT,office=company
gemma3:12b,vlm,brooklyn__61__crop_001,brooklyn,DONATO,office=company,DONATO,unknown
gemma3:12b,vlm,brooklyn__61__crop_002,brooklyn,DONATO INC,office=company,DONATO INC. Plumbing & Heating,office=company
gemma3:12b,vlm,brooklyn__62__crop_001,brooklyn,DRUG STORE,amenity=pharmacy,Franklin & Carroll DRUGS,amenity=pharmacy
gemma3:12b,vlm,brooklyn__63__crop_001,brooklyn,FOOD CENTER,amenity=restaurant,Brothers FOOD CENTER,amenity=restaurant
gemma3:12b,vlm,brooklyn__63__crop_002,brooklyn,GRANDMA LAUNDRY CORNER INC,shop=laundry,GRANDMA LAUNDRY CORNER INC.,shop=laundry
gemma3:12b,vlm,brooklyn__64__crop_001,brooklyn,BEAUTY SALON,shop=hairdresser,BEAUTY SALON,shop=beauty
gemma3:12b,vlm,brooklyn__65__crop_001,brooklyn,HARDEE,amenity=fast_food,New HARDEE,amenity=fast_food
gemma3:12b,vlm,brooklyn__66__crop_001,brooklyn,DELI,shop=convenience,DELI INC.,amenity=restaurant
gemma3:12b,vlm,brooklyn__66__crop_002,brooklyn,MOZEB,shop=supermarket,MOZEB,unknown
gemma3:12b,vlm,brooklyn__68__crop_001,brooklyn,UNISEX SALON,shop=hairdresser,Hair Unisex Salon,shop=hairdresser
gemma3:12b,vlm,brooklyn__68__crop_002,brooklyn,Franklin Eyecare,amenity=clinic,Franklin Eyecare,shop=optician
gemma3:12b,vlm,brooklyn__69__crop_001,brooklyn,AMY UNIQUE NAILS INC,shop=beauty,AMY UNIQUE NAILS INC.,shop=beauty
gemma3:12b,vlm,brooklyn__69__crop_002,brooklyn,SMOK SHOP,shop=smoke_shop,SMOKE SHOP,shop=smoke_shop
gemma3:12b,vlm,brooklyn__69__crop_003,brooklyn,Lemon Grass,amenity=restaurant,Lemon Grass,amenity=restaurant
gemma3:12b,vlm,brooklyn__70__crop_001,brooklyn,JUICY KING CRAB,amenity=fast_food,JUICY KING CRAB EXPRESS,amenity=restaurant
gemma3:12b,vlm,brooklyn__70__crop_002,brooklyn,JUICY KING CRAB,amenity=fast_food,JUICY KING CRAB,amenity=restaurant
gemma3:12b,vlm,brooklyn__71__crop_001,brooklyn,NAILS,shop=beauty,Golden 7 Nails,shop=beauty
gemma3:12b,vlm,brooklyn__73__crop_001,brooklyn,POPEYES,amenity=fast_food,POpeye's,amenity=fast_food
gemma3:12b,vlm,brooklyn__73__crop_002,brooklyn,SuperFoodtown,shop=supermarket,Super Foodtown,shop=supermarket
gemma3:12b,vlm,brooklyn__75__crop_001,brooklyn,NEXT LEVEL Fashions,shop=clothes,NEXT LEVEL Fashions,shop=clothes
gemma3:12b,vlm,brooklyn__75__crop_002,brooklyn,Modern Nails,shop=beauty,Modern Nails,shop=beauty
gemma3:12b,vlm,brooklyn__76__crop_001,brooklyn,Modern Nails,shop=beauty,Modern Nails,shop=beauty
gemma3:12b,vlm,brooklyn__77__crop_001,brooklyn,Modern Nails,shop=beauty,Modern Nails,shop=beauty
gemma3:12b,vlm,brooklyn__77__crop_002,brooklyn,Mini Market,shop=supermarket,Blessed Mini Market Deli,shop=convenience
gemma3:12b,vlm,brooklyn__78__crop_001,brooklyn,MNS 99 CENTS UP INC,shop=supermarket,"MNS 99 CENTS & UP, INC",shop=convenience
gemma3:12b,vlm,brooklyn__79__crop_001,brooklyn,HAIR STUDIO,shop=hairdresser,HAIR STUDIO,shop=hairdresser
gemma3:12b,vlm,brooklyn__80__crop_001,brooklyn,FULTON,amenity=bar,FULTON ALE HOUSE,amenity=bar
gemma3:12b,vlm,brooklyn__80__crop_002,brooklyn,Soldier Restaurant Inc,amenity=restaurant,Soldier Restaurant Inc.,amenity=restaurant
gemma3:12b,vlm,brooklyn__80__crop_003,brooklyn,HAIR STUDIO,shop=hairdresser,HAIR STUDIO,shop=hairdresser
gemma3:12b,vlm,brooklyn__81__crop_001,brooklyn,BEAUTY SUPPLY,shop=beauty,Oumou's BEAUTY SUPPLY,shop=beauty
gemma3:12b,vlm,brooklyn__83__crop_001,brooklyn,FULTON,amenity=bar,FULTON ALE HOUSE,amenity=bar
gemma3:12b,vlm,brooklyn__83__crop_002,brooklyn,A GUSTO,amenity=restaurant,A GUSTO HAI BISTRO,amenity=restaurant
gemma3:12b,vlm,brooklyn__85__crop_002,brooklyn,LAUNDROMAT,shop=laundry,LAUNDROMAT,shop=laundry
gemma3:12b,vlm,brooklyn__86__crop_002,brooklyn,Dominos,amenity=fast_food,Domino's,amenity=fast_food
gemma3:12b,vlm,brooklyn__87__crop_001,brooklyn,DOG DAYCARE,amenity=veterinary,DOG DAYCARE,shop=pet
gemma3:12b,vlm,brooklyn__88__crop_001,brooklyn,Blooming Brows,shop=beauty,Blooming Brows,shop=beauty
gemma3:12b,vlm,brooklyn__89__crop_001,brooklyn,Dreamer Nails,shop=beauty,Dreamer Nails Inc.,shop=beauty
gemma3:12b,vlm,brooklyn__8__crop_001,brooklyn,NAILS,shop=beauty,Orchid Nails Salon,shop=beauty
gemma3:12b,vlm,brooklyn__90__crop_001,brooklyn,AR POSTAL MULTISERVICES,amenity=post_office,AR POSTAL & MULTISERVICES,post_office
gemma3:12b,vlm,brooklyn__91__crop_001,brooklyn,SOGHO HAIR Salon BRAIDING,shop=hairdresser,Sogho Express African Hair Braiding,shop=hairdresser
gemma3:12b,vlm,brooklyn__92__crop_002,brooklyn,NAIL,shop=beauty,NAIL,shop=beauty
gemma3:12b,vlm,brooklyn__93__crop_001,brooklyn,BRAIDING STYLING,shop=hairdresser,AMINATA BRAIDING STYLING AND UNISEX HAIR SALON,shop=hairdresser
gemma3:12b,vlm,brooklyn__94__crop_001,brooklyn,RICKY S,amenity=restaurant,RICKY'S,amenity=restaurant
gemma3:12b,vlm,brooklyn__94__crop_002,brooklyn,NEW PEOPLES RESTAURANT,amenity=restaurant,NEW PEOPLE'S RESTAURANT,amenity=restaurant
gemma3:12b,vlm,brooklyn__94__crop_003,brooklyn,HARDWARE,shop=hardware,HARDWARE & DISCOUNT,shop=hardware
gemma3:12b,vlm,brooklyn__95__crop_001,brooklyn,NEW PEOPLES RESTAURANT,amenity=restaurant,NEW PEOPLE'S RESTAURANT,amenity=restaurant
gemma3:12b,vlm,brooklyn__95__crop_002,brooklyn,HARDWARE,shop=hardware,HARDWARE & DISCOUNT,shop=hardware
gemma3:12b,vlm,brooklyn__96__crop_001,brooklyn,Rockaway GOURMET DELI GRILL,shop=convenience,Rockaway Gourmet Deli & Grill,amenity=restaurant
gemma3:12b,vlm,brooklyn__97__crop_001,brooklyn,BEAUTY SUPPLY INC,shop=beauty,K&M BEAUTY SUPPLY INC.,shop=beauty
gemma3:12b,vlm,brooklyn__97__crop_002,brooklyn,NAILS Inc,shop=beauty,New Pro NAILS Inc.,shop=beauty
gemma3:12b,vlm,brooklyn__97__crop_003,brooklyn,Rockaway GOURMET DELI GRILL,shop=convenience,Rockaway Gourmet Deli & Grill,amenity=restaurant
gemma3:12b,vlm,brooklyn__98__crop_001,brooklyn,BARGAINLAND,shop=supermarket,BARGAINLAND DEPARTMENT STORES,shop=supermarket
gemma3:12b,vlm,brooklyn__98__crop_002,brooklyn,BEAUTY SUPPLY INC,shop=beauty,K&M BEAUTY SUPPLY INC.,shop=beauty
gemma3:12b,vlm,brooklyn__98__crop_003,brooklyn,NAILS Inc,shop=beauty,New Pro NAILS Inc.,shop=beauty
gemma3:12b,vlm,brooklyn__99__crop_002,brooklyn,eyes nyc,shop=optician,eyes.nyc,shop=optician
gemma3:12b,vlm,brooklyn__9__crop_001,brooklyn,JOHN GARDEN,amenity=restaurant,JOHN GARDEN,amenity=restaurant
gemma3:12b,vlm,gangnam__100__crop_001,gangnam,Chicken,amenity=fast_food,BBQ Chicken,amenity=restaurant
gemma3:12b,vlm,gangnam__10__crop_001,gangnam,HOTEL,tourism=hotel,HOTEL,tourism=hotel
gemma3:12b,vlm,gangnam__10__crop_002,gangnam,Saboten,amenity=restaurant,Saboten,amenity=restaurant
gemma3:12b,vlm,gangnam__11__crop_001,gangnam,LOTTERIA,amenity=fast_food,LOTTERIA,shop=convenience
gemma3:12b,vlm,gangnam__11__crop_002,gangnam,짚동가리쌩주,amenity=bar,진도해장국,amenity=restaurant
gemma3:12b,vlm,gangnam__12__crop_001,gangnam,럭셔리브라더스,office=company,럭셔리브라더스,amenity=karaoke_box
gemma3:12b,vlm,gangnam__12__crop_002,gangnam,신오약국,amenity=pharmacy,신오국,unknown
gemma3:12b,vlm,gangnam__13__crop_001,gangnam,The Coffee Bean,amenity=cafe,The Coffee Bean,amenity=cafe
gemma3:12b,vlm,gangnam__17__crop_001,gangnam,MLB,shop=clothes,MLB,unknown
gemma3:12b,vlm,gangnam__17__crop_002,gangnam,espoir,shop=beauty,espoir,unknown
gemma3:12b,vlm,gangnam__18__crop_001,gangnam,MLB,shop=clothes,MLB,office
gemma3:12b,vlm,gangnam__18__crop_002,gangnam,우리은행 강남역지점,amenity=bank,우리은행,amenity=bank
gemma3:12b,vlm,gangnam__19__crop_001,gangnam,파파스레시피 2F,amenity=restaurant,파파로스트 레시피,amenity=cafe
gemma3:12b,vlm,gangnam__1__crop_001,gangnam,milk,amenity=karaoke_box,milk,amenity=karaoke_box
gemma3:12b,vlm,gangnam__20__crop_001,gangnam,THE PLACE ITALIAN URBAN BISTRO,amenity=restaurant,THE PLACE,amenity=restaurant
gemma3:12b,vlm,gangnam__21__crop_001,gangnam,baskin BR robbins,amenity=ice_cream,baskinBRrobbins,amenity=ice_cream
gemma3:12b,vlm,gangnam__22__crop_001,gangnam,혜화 돌쇠 아저씨,amenity=restaurant,헤안 동스 아저씨,unknown
gemma3:12b,vlm,gangnam__23__crop_001,gangnam,문교동낙지,amenity=restaurant,본교동낙지,restaurant
gemma3:12b,vlm,gangnam__24__crop_001,gangnam,SUBWAY,amenity=fast_food,SUBWAY,amenity=fast_food
gemma3:12b,vlm,gangnam__25__crop_001,gangnam,GOLD,,GOLD,unknown
gemma3:12b,vlm,gangnam__27__crop_001,gangnam,CU,shop=convenience,CU,shop=convenience
gemma3:12b,vlm,gangnam__28__crop_001,gangnam,THE CAFE 8 6 8,amenity=cafe,THE CAFE 868,amenity=cafe
gemma3:12b,vlm,gangnam__29__crop_001,gangnam,라이브 유흥주점,amenity=bar,오페라,amenity=karaoke_box
gemma3:12b,vlm,gangnam__2__crop_001,gangnam,HERRY S COFFEE,amenity=cafe,HERRY'S COFFEE,amenity=cafe
gemma3:12b,vlm,gangnam__30__crop_001,gangnam,Emoi,amenity=restaurant,Emôi,amenity=restaurant
gemma3:12b,vlm,gangnam__31__crop_001,gangnam,정통중국요리,amenity=restaurant,제동동주국요리,amenity=restaurant
gemma3:12b,vlm,gangnam__32__crop_001,gangnam,IZAKAYA TAN,amenity=bar,IZAKAYA TAN,amenity=bar
gemma3:12b,vlm,gangnam__33__crop_001,gangnam,DUNKIN,shop=bakery,DUNKIN' DONUTS,amenity=fast_food
gemma3:12b,vlm,gangnam__34__crop_001,gangnam,MINI STOP,shop=convenience,MINISTOP,shop=convenience
gemma3:12b,vlm,gangnam__35__crop_001,gangnam,olleh O,shop=mobile_phone,olleh,shop=mobile_phone
gemma3:12b,vlm,gangnam__35__crop_002,gangnam,효성해링턴타워,office=building,고성해링턴타워,office=building
gemma3:12b,vlm,gangnam__35__crop_004,gangnam,olleh O,shop=mobile_phone,olleh,shop=mobile_phone
gemma3:12b,vlm,gangnam__35__crop_006,gangnam,효성해링턴타워,office=building,호성해킹텐타위,unknown
gemma3:12b,vlm,gangnam__37__crop_001,gangnam,eye scream,shop=optician,eye scream,amenity=ice_cream
gemma3:12b,vlm,gangnam__38__crop_001,gangnam,CANDLE SOAP,amenity=cafe,CANDLE & SOAP,shop
gemma3:12b,vlm,gangnam__39__crop_001,gangnam,쭈꾸미불낙,amenity=restaurant,좌구미불낙,restaurant
gemma3:12b,vlm,gangnam__3__crop_001,gangnam,Yomenya Goemon Japanese Spaghetti,amenity=restaurant,Yomenya Goemon Japanese Spaghetti,amenity=restaurant
gemma3:12b,vlm,gangnam__40__crop_001,gangnam,로빈힐,amenity=bar,로빈힐 BEER & แซ่แฮคู,amenity=bar
gemma3:12b,vlm,gangnam__41__crop_001,gangnam,모닝글로리,shop=stationery,모넉로로리,unknown
gemma3:12b,vlm,gangnam__42__crop_001,gangnam,흑마늘족발 보쌈 순대국,amenity=restaurant,일흥마늘쪽방·보쌈·순대국,restaurant
gemma3:12b,vlm,gangnam__43__crop_001,gangnam,7 ELEVEN,shop=convenience,ELEVEN,shop=convenience
gemma3:12b,vlm,gangnam__44__crop_001,gangnam,7 ELEVEN,shop=convenience,7 ELEVEN,shop=convenience
gemma3:12b,vlm,gangnam__44__crop_002,gangnam,영 동 껍데기,amenity=restaurant,영업대기,unknown
gemma3:12b,vlm,gangnam__45__crop_001,gangnam,영동 껍데기 소금구이,amenity=restaurant,법대기 소금구이,restaurant
gemma3:12b,vlm,gangnam__46__crop_001,gangnam,통돼지찌개집,amenity=restaurant,토용돼지 찌개밥집,amenity=restaurant
gemma3:12b,vlm,gangnam__47__crop_001,gangnam,나주,amenity=restaurant,나주家,restaurant
gemma3:12b,vlm,gangnam__48__crop_001,gangnam,FOOD,amenity=restaurant,FOOD CAFE,amenity=cafe
gemma3:12b,vlm,gangnam__49__crop_001,gangnam,PARIS BAGUETTE,shop=bakery,PARIS BAGUETTE,shop=bakery
gemma3:12b,vlm,gangnam__4__crop_001,gangnam,CASA JOVEN,amenity=bar,CASA JOVEN,amenity=bar
gemma3:12b,vlm,gangnam__50__crop_001,gangnam,coffeesmith,amenity=cafe,coffeesmith,amenity=cafe
gemma3:12b,vlm,gangnam__51__crop_001,gangnam,GS25,shop=convenience,GS25,shop=convenience
gemma3:12b,vlm,gangnam__52__crop_001,gangnam,MizMedi Hospital,amenity=clinic,Miz Medi Hospital,amenity=clinic
gemma3:12b,vlm,gangnam__54__crop_001,gangnam,EM 학원,amenity=school,ΣEM 학원,office=company
gemma3:12b,vlm,gangnam__54__crop_002,gangnam,ZUM 줌,leisure=fitness_centre,펄라테이스 & 플라잉.요가,leisure=fitness_centre
gemma3:12b,vlm,gangnam__55__crop_001,gangnam,대성,office=estate_agent,대성,unknown
gemma3:12b,vlm,gangnam__55__crop_002,gangnam,ROYAL KITCHEN,amenity=restaurant,로얄키친,amenity=restaurant
gemma3:12b,vlm,gangnam__55__crop_003,gangnam,로얄키친,amenity=restaurant,로얄키친,amenity=karaoke_box
gemma3:12b,vlm,gangnam__56__crop_002,gangnam,믿음부동산,office=estate_agent,민우 부동산 공인중개사 사무소,office=estate_agent
gemma3:12b,vlm,gangnam__57__crop_001,gangnam,삼성서점,shop=books,대사암서서점,shop=book
gemma3:12b,vlm,gangnam__57__crop_002,gangnam,솔로몬 공인중개사사무소,office=estate_agent,솔로문 공인중개사 사무소,office=estate_agent
gemma3:12b,vlm,gangnam__58__crop_001,gangnam,VIP 노래방,amenity=karaoke_box,VIP 노래방,amenity=karaoke_box
gemma3:12b,vlm,gangnam__58__crop_002,gangnam,정관장,shop=health_food,정갈장,unknown
gemma3:12b,vlm,gangnam__59__crop_001,gangnam,메디팜 나리약국,amenity=pharmacy,메디팜 나리약국,pharmacy
gemma3:12b,vlm,gangnam__59__crop_002,gangnam,VIP 노래방,amenity=karaoke_box,VIP 노래방,amenity=karaoke_box
gemma3:12b,vlm,gangnam__59__crop_003,gangnam,정관장,shop=health_food,정관장,unknown
gemma3:12b,vlm,gangnam__5__crop_001,gangnam,MOS BURGER,amenity=fast_food,MOS BURGER,amenity=fast_food
gemma3:12b,vlm,gangnam__5__crop_003,gangnam,부대찌개,amenity=restaurant,농부복대회계,unknown
gemma3:12b,vlm,gangnam__60__crop_001,gangnam,이수정국어 논술,amenity=school,이수정국어.논술,office=company
gemma3:12b,vlm,gangnam__61__crop_001,gangnam,PAIK S COFFEE,amenity=cafe,PAIK'S COFFEE,amenity=cafe
gemma3:12b,vlm,gangnam__61__crop_002,gangnam,MINI STOP,shop=convenience,MINI STOP,shop=convenience
gemma3:12b,vlm,gangnam__62__crop_001,gangnam,MINISTOP,shop=convenience,MINISTOP,shop=convenience
gemma3:12b,vlm,gangnam__62__crop_002,gangnam,MINISTOP,shop=convenience,MINISTOP,shop=convenience
gemma3:12b,vlm,gangnam__63__crop_001,gangnam,MINISTOP,shop=convenience,MINISTOP,shop=convenience
gemma3:12b,vlm,gangnam__64__crop_001,gangnam,SUSHI BROS,amenity=restaurant,SUSHI BROS,amenity=restaurant
gemma3:12b,vlm,gangnam__64__crop_002,gangnam,MINI STOP,shop=convenience,MINISTOP,shop=convenience
gemma3:12b,vlm,gangnam__64__crop_003,gangnam,SIZAK STUDY CAFE,amenity=study_cafe,SIZAK STUDY CAFE,amenity=study_cafe
