model,mode,image_name,region,gt_name,gt_tag,pred_name,pred_tag,rag_hits,in_db
qwen3-vl:32b-instruct,vlmrag,brooklyn__32__crop_003,brooklyn,DUNKIN,shop=bakery,DUNKIN' DONUTS,amenity=fast_food,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__33__crop_001,brooklyn,Capital One Bank,amenity=bank,CapitalOne Bank,amenity=bank,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__34__crop_001,brooklyn,Royal Yard Food,amenity=restaurant,Royal Yard Food,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__34__crop_002,brooklyn,800 Candy Juice Bar,amenity=bar,800 Candy & Juice Bar,amenity=fast_food,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__35__crop_001,brooklyn,STARBUCKS COFFEE,amenity=cafe,STARBUCKS COFFEE,amenity=cafe,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__36__crop_001,brooklyn,EL BARRIO BURRITOS,amenity=restaurant,EL BARRIO BURRITOS,amenity=fast_food,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__36__crop_002,brooklyn,Nail Salon,shop=hairdresser,Jun Nail Salon Inc.,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__37__crop_001,brooklyn,E MARTIN SALES RENTALS,office=estate_agent,E. MARTIN SALES & RENTALS,office=estate_agent,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__37__crop_002,brooklyn,GRILL DELI,shop=convenience,GRILL & DELI,amenity=restaurant,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__38__crop_001,brooklyn,95 South,amenity=restaurant,95 South,amenity=restaurant,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__38__crop_002,brooklyn,PHARMACY,amenity=pharmacy,PURE HEALTH PHARMACY LLC,amenity=pharmacy,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__38__crop_003,brooklyn,95 South,amenity=restaurant,95 South,amenity=restaurant,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__38__crop_004,brooklyn,PHARMACY,amenity=pharmacy,PURE HEALTH PHARMACY LLC,amenity=pharmacy,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__3__crop_001,brooklyn,LAUNDROMAT,shop=laundry,Dynamo Duo,shop=laundry,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__40__crop_001,brooklyn,SHEER MADNESS,shop=hairdresser,SHEER MADNESS,shop=hairdresser,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__41__crop_001,brooklyn,FRANKLIN EXPRESS,shop=laundry,FRANKLIN EXPRESS LAUNDRY CENTER,shop=laundry,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__42__crop_001,brooklyn,Bagel Pub,amenity=bar,Bagel Pub,amenity=fast_food,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__44__crop_001,brooklyn,SJ MARKET,shop=supermarket,SJ MARKET,shop=convenience,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__45__crop_001,brooklyn,HAPPY WOK,amenity=restaurant,HAPPY WOK,amenity=fast_food,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__46__crop_001,brooklyn,NOOKLYN,office=estate_agent,NOOKLYN,office=estate_agent,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__47__crop_002,brooklyn,MISC,amenity=restaurant,MISC,amenity=restaurant,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__48__crop_001,brooklyn,RESTAURANT,amenity=restaurant,Maria & Tony RESTAURANT,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__48__crop_002,brooklyn,DELI GROCERY,shop=convenience,Amigos DELI & GROCERY,shop=convenience,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__49__crop_001,brooklyn,enterprise,amenity=car_rental,enterprise rent-a-car,amenity=car_rental,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__49__crop_002,brooklyn,enterprise,amenity=car_rental,enterprise rent-a-car,amenity=car_rental,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__4__crop_001,brooklyn,SuperMarket,shop=supermarket,612 Supermarket Corp.,shop=supermarket,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__50__crop_001,brooklyn,THE NEW ATLANTIC Restaurant,amenity=restaurant,THE NEW ATLANTIC Restaurant,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__51__crop_001,brooklyn,enterprise,amenity=car_rental,enterprise rent-a-car,amenity=car_rental,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__52__crop_001,brooklyn,StateFarm,office=company,State Farm,office=company,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__54__crop_001,brooklyn,R FERRARO COLLISION,shop=car_repair,R. FERRARO COLLISION,shop=car_repair,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__54__crop_002,brooklyn,CAROUSEL BEVERAGES,amenity=bar,CAROUSEL BEVERAGES,amenity=bar,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__55__crop_001,brooklyn,MIGHTY QUINNS,amenity=restaurant,MIGHTY QUINN'S Slow Smoked Barbeque,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__57__crop_001,brooklyn,CAROUSEL BEVERAGES,amenity=bar,CAROUSEL BEVERAGES,amenity=bar,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__57__crop_003,brooklyn,Powerplay,leisure=fitness_centre,Powerplay,leisure=fitness_centre,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__58__crop_001,brooklyn,Powerplay,leisure=fitness_centre,Powerplay ACTIVITY CENTER,leisure=fitness_centre,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__59__crop_001,brooklyn,NEW MILLENNIUM MOTORS INC,shop=car_repair,"NEW MILLENNIUM MOTORS, INC.",shop=car_repair,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__5__crop_001,brooklyn,ROYAL BAKERY ROTI,shop=bakery,ROYAL BAKERY & ROTI INC.,shop=bakery,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__5__crop_002,brooklyn,Nostrand Gold Dealers,shop=jewelry,Nostrand Gold Dealers,shop=jewelry,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__60__crop_001,brooklyn,Powerplay,leisure=fitness_centre,Powerplay ACTIVITY CENTER,leisure=fitness_centre,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__60__crop_004,brooklyn,RISE DEVELOPMENT,office=estate_agent,RISE DEVELOPMENT,office=company,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__61__crop_001,brooklyn,DONATO,office=company,DONATO,shop=hardware,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__61__crop_002,brooklyn,DONATO INC,office=company,DONATO INC. Plumbing & Heating,shop=hardware,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__62__crop_001,brooklyn,DRUG STORE,amenity=pharmacy,Franklin & Carroll DRUGS,amenity=pharmacy,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__63__crop_001,brooklyn,FOOD CENTER,amenity=restaurant,Brothers FOOD CENTER,shop=convenience,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__63__crop_002,brooklyn,GRANDMA LAUNDRY CORNER INC,shop=laundry,GRANDMA LAUNDRY CORNER INC.,shop=laundry,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__64__crop_001,brooklyn,BEAUTY SALON,shop=hairdresser,BEAUTY SALON,shop=beauty,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__65__crop_001,brooklyn,HARDEE,amenity=fast_food,New HARDEE,amenity=fast_food,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__66__crop_001,brooklyn,DELI,shop=convenience,DELI INC.,shop=convenience,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__66__crop_002,brooklyn,MOZEB,shop=supermarket,871 MOZEB,shop=convenience,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__68__crop_001,brooklyn,UNISEX SALON,shop=hairdresser,Hair We Are UNISEX SALON,shop=hairdresser,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__68__crop_002,brooklyn,Franklin Eyecare,amenity=clinic,Franklin Eyecare,shop=optician,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__69__crop_001,brooklyn,AMY UNIQUE NAILS INC,shop=beauty,AMY UNIQUE NAILS INC.,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__69__crop_002,brooklyn,SMOK SHOP,shop=smoke_shop,SMOKE SHOP,shop=smoke_shop,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__69__crop_003,brooklyn,Lemon Grass,amenity=restaurant,Lemon Grass,amenity=restaurant,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__70__crop_001,brooklyn,JUICY KING CRAB,amenity=fast_food,JUICY KING CRAB EXPRESS,amenity=fast_food,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__70__crop_002,brooklyn,JUICY KING CRAB,amenity=fast_food,JUICY KING CRAB,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__71__crop_001,brooklyn,NAILS,shop=beauty,Golden 7 NAILS,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__73__crop_001,brooklyn,POPEYES,amenity=fast_food,POPEYES,amenity=fast_food,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__73__crop_002,brooklyn,SuperFoodtown,shop=supermarket,Super Foodtown,shop=supermarket,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__75__crop_001,brooklyn,NEXT LEVEL Fashions,shop=clothes,NEXT LEVEL Fashions,shop=clothes,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__75__crop_002,brooklyn,Modern Nails,shop=beauty,Modern Nails,shop=beauty,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__76__crop_001,brooklyn,Modern Nails,shop=beauty,Modern Nails,shop=beauty,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__77__crop_001,brooklyn,Modern Nails,shop=beauty,Modern Nails,shop=beauty,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__77__crop_002,brooklyn,Mini Market,shop=supermarket,Blessed Mini Market,shop=convenience,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__78__crop_001,brooklyn,MNS 99 CENTS UP INC,shop=supermarket,"MNS 99 CENTS & UP, INC",shop=convenience,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__79__crop_001,brooklyn,HAIR STUDIO,shop=hairdresser,HAIR STUDIO,shop=hairdresser,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__80__crop_001,brooklyn,FULTON,amenity=bar,FULTON ALE HOUSE,amenity=bar,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__80__crop_002,brooklyn,Soldier Restaurant Inc,amenity=restaurant,Soldier Restaurant Inc. Buffet,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__80__crop_003,brooklyn,HAIR STUDIO,shop=hairdresser,HAIR STUDIO,shop=hairdresser,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__81__crop_001,brooklyn,BEAUTY SUPPLY,shop=beauty,Oumou's BEAUTY SUPPLY,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__83__crop_001,brooklyn,FULTON,amenity=bar,FULTON ALE HOUSE,amenity=bar,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__83__crop_002,brooklyn,A GUSTO,amenity=restaurant,A GUSTO THAI BISTRO,amenity=restaurant,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__85__crop_002,brooklyn,LAUNDROMAT,shop=laundry,BE LAUNDROMAT,shop=laundry,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__86__crop_002,brooklyn,Dominos,amenity=fast_food,Domino's,amenity=fast_food,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__87__crop_001,brooklyn,DOG DAYCARE,amenity=veterinary,DOG DAYCARE,shop=pet,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__88__crop_001,brooklyn,Blooming Brows,shop=beauty,Blooming Brows,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__89__crop_001,brooklyn,Dreamer Nails,shop=beauty,Dreamer Nails Inc.,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__8__crop_001,brooklyn,NAILS,shop=beauty,New Orchid NAILS Salon Inc.,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__90__crop_001,brooklyn,AR POSTAL MULTISERVICES,amenity=post_office,AR POSTAL & MULTISERVICES,amenity=post_office,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__91__crop_001,brooklyn,SOGHO HAIR Salon BRAIDING,shop=hairdresser,SOCHO EXPRESS AFRICAN HAIR BRAIDING and Beauty Salon,shop=hairdresser,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__92__crop_002,brooklyn,NAIL,shop=beauty,NAIL,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__93__crop_001,brooklyn,BRAIDING STYLING,shop=hairdresser,AMINATA BRAIDING STYLING AND UNISEX HAIR SALON,shop=hairdresser,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__94__crop_001,brooklyn,RICKY S,amenity=restaurant,Original RICKY'S JAMAICAN AMERICAN RESTAURANT,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__94__crop_002,brooklyn,NEW PEOPLES RESTAURANT,amenity=restaurant,NEW PEOPLE'S RESTAURANT,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__94__crop_003,brooklyn,HARDWARE,shop=hardware,FULTON HOME CENTER,shop=hardware,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__95__crop_001,brooklyn,NEW PEOPLES RESTAURANT,amenity=restaurant,NEW PEOPLE'S RESTAURANT,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__95__crop_002,brooklyn,HARDWARE,shop=hardware,FULTON HOME CENTER HARDWARE & DISCOUNT,shop=hardware,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__96__crop_001,brooklyn,Rockaway GOURMET DELI GRILL,shop=convenience,Rockaway GOURMET DELI & GRILL,shop=convenience,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__97__crop_001,brooklyn,BEAUTY SUPPLY INC,shop=beauty,K&M BEAUTY SUPPLY INC.,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__97__crop_002,brooklyn,NAILS Inc,shop=beauty,New Pro NAILS Inc.,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__97__crop_003,brooklyn,Rockaway GOURMET DELI GRILL,shop=convenience,Rockaway GOURMET DELI & GRILL,shop=convenience,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__98__crop_001,brooklyn,BARGAINLAND,shop=supermarket,BARGAINLAND DEPARTMENT STORES,shop=department_store,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__98__crop_002,brooklyn,BEAUTY SUPPLY INC,shop=beauty,K&M BEAUTY SUPPLY INC.,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__98__crop_003,brooklyn,NAILS Inc,shop=beauty,New Pro NAILS Inc.,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__99__crop_002,brooklyn,eyes nyc,shop=optician,eyes.nyc,shop=optician,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__9__crop_001,brooklyn,JOHN GARDEN,amenity=restaurant,JOHN GARDEN,amenity=restaurant,5,1
qwen3-vl:32b-instruct,vlmrag,gangnam__100__crop_001,gangnam,Chicken,amenity=fast_food,비비큐치킨,amenity=fast_food,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__10__crop_001,gangnam,HOTEL,tourism=hotel,T HOTEL,tourism=hotel,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__10__crop_002,gangnam,Saboten,amenity=restaurant,Saboten,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__11__crop_001,gangnam,LOTTERIA,amenity=fast_food,LOTTERIA 롯데리아,amenity=fast_food,5,1
qwen3-vl:32b-instruct,vlmrag,gangnam__11__crop_002,gangnam,짚동가리쌩주,amenity=bar,집중가리 쌍주,amenity=bar,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__12__crop_001,gangnam,럭셔리브라더스,office=company,럭셔리브라더스,unknown,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__12__crop_002,gangnam,신오약국,amenity=pharmacy,신오아국,unknown,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__13__crop_001,gangnam,The Coffee Bean,amenity=cafe,The Coffee Bean,amenity=cafe,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__17__crop_001,gangnam,MLB,shop=clothes,MLB,shop=clothes,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__17__crop_002,gangnam,espoir,shop=beauty,espoir,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__18__crop_001,gangnam,MLB,shop=clothes,MLB,shop=clothes,0,0
qwen3-vl:32b-instruct,vlmrag,gangnam__18__crop_002,gangnam,우리은행 강남역지점,amenity=bank,우리은행 강남역지점,amenity=bank,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__19__crop_001,gangnam,파파스레시피 2F,amenity=restaurant,파파스레시피,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__1__crop_001,gangnam,milk,amenity=karaoke_box,milk 밀크뮤직타운 MILK MUSIC TOWN,amenity=karaoke_box,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__20__crop_001,gangnam,THE PLACE ITALIAN URBAN BISTRO,amenity=restaurant,THE PLACE,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__21__crop_001,gangnam,baskin BR robbins,amenity=ice_cream,baskin BR robbins,amenity=ice_cream,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__22__crop_001,gangnam,혜화 돌쇠 아저씨,amenity=restaurant,혜화둘소 아저씨 고르곤 졸라 피자,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__23__crop_001,gangnam,문교동낙지,amenity=restaurant,분교동낙지,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__24__crop_001,gangnam,SUBWAY,amenity=fast_food,SUBWAY,amenity=fast_food,5,1
qwen3-vl:32b-instruct,vlmrag,gangnam__25__crop_001,gangnam,GOLD,,GOLD,shop=jewelry,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__27__crop_001,gangnam,CU,shop=convenience,CU,shop=convenience,5,1
qwen3-vl:32b-instruct,vlmrag,gangnam__28__crop_001,gangnam,THE CAFE 8 6 8,amenity=cafe,THE CAFE 8.6.8,amenity=cafe,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__29__crop_001,gangnam,라이브 유흥주점,amenity=bar,오페라,amenity=bar,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__2__crop_001,gangnam,HERRY S COFFEE,amenity=cafe,HERRY'S COFFEE,amenity=cafe,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__30__crop_001,gangnam,Emoi,amenity=restaurant,Emói,amenity=restaurant,5,1
qwen3-vl:32b-instruct,vlmrag,gangnam__31__crop_001,gangnam,정통중국요리,amenity=restaurant,國賓 정통중국요리,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__32__crop_001,gangnam,IZAKAYA TAN,amenity=bar,IZAKAYA TAN,amenity=restaurant,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__33__crop_001,gangnam,DUNKIN,shop=bakery,DUNKIN' DONUTS,amenity=fast_food,5,1
qwen3-vl:32b-instruct,vlmrag,gangnam__34__crop_001,gangnam,MINI STOP,shop=convenience,MINI STOP,shop=convenience,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__35__crop_001,gangnam,olleh O,shop=mobile_phone,olleh,shop=mobile_phone,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__35__crop_002,gangnam,효성해링턴타워,office=building,강남역 효성해링턴타워 더 퍼스트,amenity=bar,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__35__crop_004,gangnam,olleh O,shop=mobile_phone,olleh,shop=mobile_phone,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__35__crop_006,gangnam,효성해링턴타워,office=building,강남역 효성해링턴타워 더 퍼스트,amenity=cafe,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__37__crop_001,gangnam,eye scream,shop=optician,eye scream 아이스크림안경,shop=optician,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__38__crop_001,gangnam,CANDLE SOAP,amenity=cafe,CANDLE & SOAP,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,gangnam__39__crop_001,gangnam,쭈꾸미불낙,amenity=restaurant,쭈꾸미앤낙지,amenity=restaurant,5,0
